'id','type','title','authors','year','publisher','city','journal','volume'_issue,pages,url,notes
1,book,Catching the Big Fish: Meditation, Consciousness, and Creativity: 10th Anniversary Edition,"Lynch David",2016,TarcherPerigee,New York,,,,,
2,book,Digital Nudes,"Lynch David",2021,editions de la Fondation Cartier,Paris,,,,,
3,book,Nudes,"Lynch David",2017,editions de la Fondation Cartier,Paris,,,,,
4,book,Works on paper,"Lynch David",2011,editions de la Fondation Cartier,Paris,,,,,
5,book,Snowmen,"Lynch David",2007,editions de la Fondation Cartier,Paris,,,,,
6,book,Distorted Nudes,"Lynch David",2004,Absurda,Los Angeles,,,,,
7,book,Lynch on Lynch,"Lynch David; Rodley Chris",2005,Faber & Faber,London,,,,,
8,book,Room to Dream : A life,"Lynch David; McKenna Christine; et al.",2018,Canongate Books,Edinburgh,,,,,
9,article,Mystery Man. Entretien avec David Lynch,"",2017,,Cahiers du Cinéma,n°739,8‑18,,,
10,article,Au fil des entretiens,"",2023,,Cahiers du Cinéma,hors‑série n°2,18‑39,,,
11,article,David Lynch artiste total,"",2024,,Intramuros,n°221,98‑110,,,
12,magazine,Madame Figaro – Supplément,"",2014,,Madame Figaro,n°21607,,24 janvier 2014,,,
13,magazine,Libération,"",2014,,Libération,,p. 18,31 janvier 2014,,,
14,magazine,Madame Figaro – 26 nov 2011,"",2011,,Madame Figaro,,p. 144,26 novembre 2011,,,
15,magazine,L’œil de Lynch,"",2007,,Air France magazine,n°127,95‑96,mai 2007,,,
16,magazine,Madame Figaro – 3 mars 2007,"",2007,,Madame Figaro,,pp. 148‑149,3 mars 2007,,,
17,tv_film,David Lynch. The Art Life,"Lynch David; Nguyen Jon",2017,Potemkine,,Telefilm,,,,,
18,tv_film,The Air is on Fire. David Lynch expose à la fondation Cartier,"Lynch David; Chion Michel",2007,Fondation Cartier,,Telefilm,,,,,
19,tv_film,David Lynch, don’t look at me,"Lynch David; Girard Guy",1989,Le Sept ARTE,,Telefilm,,,,,
20,tv_film,The Incredibly Strange Film Show: David Lynch,"Lynch David; Harries Andy",1987,BBC Arena,,Telefilm,,,,,
21,book,Eternal Stories from the Upanishads,"Egenes Thomas; Reddy Kumuda",2002,Smṛti Books,New Delhi,,,,,
22,book,The Art Spirit (1ère ed. 1924),"Henri Robert",2020,Innovative Books,Denver,,,,,
23,article,Blue cube et golden cube : David Lynch et le design d’(hyper)espace,"Bourdareau Pierre",2018,Ligeia,n°165‑168,205‑216,,,
24,article,Le site davidlynch.com. Le statut de l’artiste à l’ère d’internet,"Chateau Jérémy",2018,Ligeia,n°165‑168,138‑150,,,
25,article,Vers le simulacre transcendental. Hétéromorphies du corps dans Distorted Nudes,"Crivella Giuseppe",2018,Ligeia,n°165‑168,217‑232,,,
26,article,Hors série n°2. David Lynch,"Jousse Thiery (dir.)",2023,Cahiers du Cinéma,hors‑série n°2,,,,,
27,article,Lynch en vitrine : fiction hypnose et attraction,"Souladié Vincent",2018,Ligea,n°165‑168,195‑204,,,
28,article,Stupidité, vulgarité et absurdité de la production dessinée de David Lynch,"Würtz Siegfried",2018,Ligeia,n°165‑168,89‑98,,,
29,catalogue,David Lynch. The air is on fire,"",2007,Xavier Barral,Paris,,cat. expo.,3 mars‑27 mai 2007,,,
30,catalogue,David Lynch Lithos,"",2010,Hatje Cantz,Berlin,,cat. expo.,27 juin‑17 oct. 2010,,,
31,catalogue,David Lynch. Dark Splendor,"",2010,Hatje Cant,Berlin,,cat. expo.,22 nov 2009‑21 mar 2010,,,
32,catalogue,Man Walking from Dream,"",2012,Prestel,Munich,,cat. expo.,30 août 2018‑28 fév 2019,,,
33,catalogue,David Lynch. The Unified Field,"",2014,University of California Press,Pennsylvania,,cat. expo.,13 sept 2014‑11 jan 2015,,,
34,catalogue,Someone is in my House,"",2018,Prestel,Maastricht,,cat. expo.,30 août 2018‑28 fév 2019,,,
35,book,Le Purgatoire des sens. Lost Highway de David Lynch,"Astic Guy",2022,Rouge Profond,Aix‑en‑Provence,,,,,
36,book,Mulholland Drive de David Lynch,"Aubron Hervé",2006,Yellow Now,Liège,,,,,
37,book,David Lynch,"Chion Michel",2001,Cahiers du cinéma,,,,,
38,book,David Lynch. Matière, temps et image,"Dufour Éric",2008,Vrin,Paris,,,,,
39,book,La Dynamique du Mou,"Cadaureille Cécile; Viguier Emma (dir.); et al.",2016,Presses universitaires du midi,Toulouse,pp. 35‑46,,
40,book,Eraserhead. Un film de David Lynch,"Smolder Olivier",1997,Yellow Now,Liège,,,,,
41,book,Trois essais sur Twin Peaks,"Thiellement Pacôme",2018,PUF,Paris,,,,,
42,book,Le feu à l’oeuvre dans la création contemporaine,"Tuot Laurence (dir.)",2018,Publications de l’Université de Saint‑Étienne,Saint‑Étienne,,,,,
43,article,Le pictural au service du cinéma réflexif. Chez David Lynch : révéler le simulacre pour mieux le célébrer ?,"AcheMchame Julien",2018,Ligeia,n°165‑168,52‑62,,,
44,article,Memory, Identity and Desire : A Psychoanalytic Reading of David Lynch’s Muljolland Drive,"AksEr Murat",2012,Cinej Cinema Journal,Vol. 2.1,59‑75,,,
45,article,David Lynch, l’ultime cinéplaste,"Arnaud Diane",2018,Ligeia,n°165‑168,33‑51,,,
46,article,Twin Peaks : de l’autre côté de la toile,"Boulègne Franck",2018,Ligeia,n°165‑168,63‑80,,,
47,article,Le film hanté de David Lynch : Inland Empire,"Cabart Anaïs",2018,Ligeia,n°165‑168,99‑109,,,
48,article,L’installation dans les films de David Lynch,"Daverat Xavier",2018,Ligeia,n°165‑168,162‑172,,,
49,article,Francis Bacon – David Lynch : Une plasticité du sensible,"David Étienne",2021,Revue Chameaux,n°12,,url:https://revuechameaux.org/numeros/lincertaine-realite-reves-illusions-et-hallucinations/francis-bacon-david-lynch-une-plasticite-du-sensible/,,
50,article,Sisyphus and Suburbia: A Contextual Study of David Lynch’s Dumbland,"Durnell David",2007,Off Screen,n°11,,,,,
51,article,David Lynch on getting ideas,"Kleon Austin",2020,Austin Kleon,Online,,url:https://austinkleon.com/2020/09/24/david-lynch-on-ideas/,,
52,article,David Lynch on the (h)air,"Morice Philippe",2018,Ligeia,n°165‑168,81‑88,,,
53,article,Digital Modernism and the Unfinished Performance in David Lynch’s “Inland Empire”,“Paraskeva Anthony",2012,Film Criticism,Vol. 37 n°1,2‑18,,,
54,article,Lynch et le cubisme,"Plasseraud Emmanuel",2007,Unpublished,,,,,
55,article,Symphonies industrielles,"Pichon Alban",2018,Ligeia,n°165‑168,124‑137,,,
56,article,Rabbits (2002) et Inland Empire (2006). Réflexion sur la création audiovisuelle à l’ère numérique,"Roche David",2018,Ligeia,n°165‑168,151‑161,,,
57,article,Grimaces of the Real or When the Phallus Appears,"Žižek Slavoj",1991,October,Vol. 58,44‑68,,,
58,book,Manifestes du Surréalisme,"Breton André",1985,Gallimard Folio Essais,Paris,,,,,
59,book,Francis Bacon. Logique de la sensation,"Deleuze Gilles",2002,Seuil,Paris,,,,,
60,book,Le surréalisme,"Durozoi Gérard",2002,Hazan,Paris,,,,,
61,book,L’expérience du mouvement dans la peinture de Francis Bacon,"Leclercq Stéfan",2002,L’Harmattan,Paris,,,,,
62,book,Bacon. L’effroyable viande,"Milon Alain",2008,Encre marine,Paris,,,,,
63,book,Re‑thinking Kirchner,"Nommsen Martina (dir.)",2020,Hirmer,Paris,,,,,
